DiseaseID	DrugCID
C0000810	5280360
C0000810	439302
C0000810	5282415
C0001126	13344
C0001144	98042564
C0001144	45359047
C0001144	89386
C0001144	11773081
C0001144	14956
C0001144	146158693
C0001144	37083
C0001144	9601086
C0001144	5362487
C0001144	5360970
C0001144	6540478
C0001144	118705500
C0001144	133611887
C0001144	135391140
C0001144	5280965
C0001144	134719018
C0001144	6230
C0001144	5754
C0001144	5320
C0001144	5870
C0001144	444795
C0001144	54675776
C0001144	5381
C0001144	5757
C0001144	338
C0001144	5991
C0001144	5311328
C0001144	54675783
C0001144	16667679
C0001144	12560
C0001144	44399170
C0001144	68873
C0001144	5745
C0001144	60164
C0001144	446598
C0001144	5386092
C0001144	936
C0001144	53486284
C0001144	2266
C0001144	46783793
C0001144	50990393
C0001144	3000226
C0001144	9919339
C0001144	73438937
C0001144	7187
C0001144	23863720
C0001144	71311649
C0001144	91827561
C0001144	139246982
C0001144	1972
C0001144	145705939
C0001144	44421047
C0001144	54671203
C0001144	2955
C0001206	134694358
C0001206	10796238
C0001206	154734381
C0001206	90488715
C0001206	44311916
C0001206	155903738
C0001206	44420813
C0001206	6400441
C0001206	44270249
C0001206	383414
C0001206	448601
C0001206	86289069
C0001206	138393800
C0001206	122173799
C0001206	28864
C0001206	31101
C0001206	6918011
C0001206	71349
C0001207	134694358
C0001207	10796238
C0001207	71349
C0001207	122173799
C0001207	44270249
C0001207	138393800
C0001207	154734381
C0001207	6918011
C0001261	5386092
C0001261	5280965
C0001261	73438937
C0001261	54680690
C0001261	91827561
C0001261	54675779
C0001261	23863720
C0001261	118705500
C0001261	14956
C0001261	71311649
C0001261	139246982
C0001261	44421047
C0001261	135391140
C0001261	5904
C0001261	46783793
C0001261	50990393
C0001261	54675776
C0001261	145705939
C0001261	16667679
C0001261	54675783
C0001261	44399170
C0001261	54671203
C0001261	3000226
C0001261	134719018
C0001261	9919339
C0001261	53486284
C0001261	1972
C0001263	5904
C0001264	5904
C0001403	5743
C0001403	5745
C0001403	5865
C0001403	9782
C0001403	5754
C0001403	31378
C0001403	31307
C0001403	5755
C0001403	6741
C0001622	5702077
C0001622	656583
C0001622	456201
C0001622	3823
C0001622	9941444
C0001622	47576
C0001622	73951506
C0001627	5745
C0001627	5755
C0001627	6741
C0001627	9782
C0001627	31307
C0001957	2712
C0001957	3016
C0001957	4616
C0001973	71158
C0001973	5360515
C0001973	3117
C0002170	4201
C0002171	31307
C0002351	1986
C0002390	5755
C0002395	77991
C0002395	3152
C0002395	9651
C0002438	11367
C0002438	5320
C0002438	3728
C0002440	165580
C0002453	28864
C0002453	638793
C0002726	25150
C0002726	60960
C0002726	12035
C0002726	5862
C0002736	5070
C0002792	5816
C0002874	5281034
C0002874	6011
C0002875	5754
C0002875	5743
C0002875	6741
C0002875	5755
C0002875	5865
C0002875	9782
C0002875	5745
C0002875	31307
C0002880	5743
C0002880	5755
C0002880	6741
C0002880	5745
C0002880	5754
C0002880	9782
C0002880	5865
C0002880	31307
C0002888	135436482
C0002888	135398559
C0002888	135403648
C0002892	70689311
C0002892	1130
C0002892	25195380
C0002892	145875202
C0002892	137332389
C0002892	6474319
C0002892	129627679
C0002892	5311498
C0002892	139030973
C0002892	6474318
C0002892	70678590
C0002892	25102581
C0002892	156587311
C0002892	46853873
C0002892	11970261
C0002892	44475014
C0002892	54605677
C0002892	118701720
C0002892	91898871
C0002892	24892734
C0002892	129627537
C0002892	23806828
C0002892	163196529
C0002892	5460135
C0002892	45357193
C0002892	50935334
C0002892	146156970
C0002892	16056828
C0002892	126480146
C0002892	71774773
C0002892	24892771
