DiseaseID	DrugCID
UMLS:C0001206	28864
UMLS:C0001206	31101
UMLS:C0001622	456201
UMLS:C0001622	47576
UMLS:C0001622	3823
UMLS:C0001622	5702077
UMLS:C0001622	73951506
UMLS:C0001627	6741
UMLS:C0001627	9782
UMLS:C0001627	31307
UMLS:C0001627	5755
UMLS:C0002170	4201
UMLS:C0002171	31307
UMLS:C0002390	5755
UMLS:C0002395	9651
UMLS:C0002736	5070
UMLS:C0002880	31307
UMLS:C0002880	5755
UMLS:C0002880	5865
UMLS:C0002880	6741
UMLS:C0002880	9782
UMLS:C0002880	5743
UMLS:C0002880	5754
UMLS:C0002963	4485
UMLS:C0002963	2520
UMLS:C0002963	39186
UMLS:C0003175	54671203
UMLS:C0003175	4583
UMLS:C0003175	5904
UMLS:C0003175	2764
UMLS:C0003615	43672
UMLS:C0003850	446155
UMLS:C0003850	23663976
UMLS:C0003850	37888681
UMLS:C0003850	53232
UMLS:C0003850	54454
UMLS:C0003862	156391
UMLS:C0003862	1983
UMLS:C0003862	2244
UMLS:C0003868	5755
UMLS:C0003868	4911
UMLS:C0003868	5754
UMLS:C0003868	6741
UMLS:C0003868	1548887
UMLS:C0003868	5865
UMLS:C0003868	9782
UMLS:C0003868	5743
UMLS:C0003868	31307
UMLS:C0003872	5865
UMLS:C0003872	9782
UMLS:C0003872	5743
UMLS:C0003872	6741
UMLS:C0003872	5754
UMLS:C0003872	31307
UMLS:C0003872	3899
UMLS:C0003872	5755
UMLS:C0003873	3715
UMLS:C0003873	4409
UMLS:C0003873	1548887
UMLS:C0003873	2244
UMLS:C0003873	5509
UMLS:C0003873	3899
UMLS:C0003873	3059
UMLS:C0003873	54676228
UMLS:C0003873	5754
UMLS:C0003873	4037
UMLS:C0003873	3825
UMLS:C0003873	2719
UMLS:C0003873	126941
UMLS:C0003873	5755
UMLS:C0003873	2662
UMLS:C0003873	31307
UMLS:C0003873	3033
UMLS:C0003873	3308
UMLS:C0003873	156391
UMLS:C0003873	6741
UMLS:C0003873	3342
UMLS:C0003873	5339
UMLS:C0003873	2265
UMLS:C0003873	4614
UMLS:C0003873	5865
UMLS:C0003873	5743
UMLS:C0003873	9782
UMLS:C0003950	5430
UMLS:C0003962	5833
UMLS:C0004031	5755
UMLS:C0004096	5755
UMLS:C0004096	5281004
UMLS:C0004096	5865
UMLS:C0004096	3182
UMLS:C0004096	82153
UMLS:C0004096	5743
UMLS:C0004096	5403
UMLS:C0004096	5754
UMLS:C0004096	4086
UMLS:C0004096	6741
UMLS:C0004096	31307
UMLS:C0004096	9782
UMLS:C0004238	3108
UMLS:C0004238	39186
UMLS:C0004238	4946
UMLS:C0004238	2520
UMLS:C0004238	2724385
UMLS:C0004364	31307
UMLS:C0004364	6741
UMLS:C0004364	5865
UMLS:C0004364	5755
UMLS:C0004364	5754
UMLS:C0004364	9782
UMLS:C0004626	43672
UMLS:C0004626	5481173
UMLS:C0004626	54671203
UMLS:C0004626	37768
UMLS:C0004626	5484131
UMLS:C0004626	2650
UMLS:C0004626	133687818
UMLS:C0004626	66509024
UMLS:C0004626	5479537
UMLS:C0004626	5491295
UMLS:C0004626	16726873
UMLS:C0004626	44298077
UMLS:C0004626	91713
UMLS:C0004626	4583
UMLS:C0004626	5742673
UMLS:C0004626	6249
UMLS:C0004626	10695961
UMLS:C0004626	9777579
UMLS:C0004626	12560
UMLS:C0004626	2764
UMLS:C0004771	54675783
UMLS:C0004771	54671203
UMLS:C0005586	3964
UMLS:C0005716	73951506
UMLS:C0005716	456201
UMLS:C0005716	3823
UMLS:C0005716	47576
UMLS:C0005716	5702077
UMLS:C0006277	54671203
UMLS:C0006277	54675783
UMLS:C0006277	54675776
UMLS:C0006277	4583
UMLS:C0006277	4086
UMLS:C0006277	54675779
UMLS:C0006277	5403
UMLS:C0006309	19649
UMLS:C0006309	54671203
UMLS:C0006309	54675776
UMLS:C0006309	54675779
UMLS:C0006309	54675783
UMLS:C0006413	31703
UMLS:C0006413	126941
UMLS:C0006413	5743
UMLS:C0006444	31307
UMLS:C0006444	5755
UMLS:C0006444	5754
UMLS:C0006444	6741
UMLS:C0006444	156391
UMLS:C0006444	9782
UMLS:C0006444	1548887
UMLS:C0006444	3715
UMLS:C0006444	5743
UMLS:C0006846	2812
UMLS:C0006846	3823
UMLS:C0006846	47576
UMLS:C0006846	4189
UMLS:C0006846	73951506
UMLS:C0006846	31307
UMLS:C0006846	456201
UMLS:C0006846	5702077
UMLS:C0006846	2749
UMLS:C0006846	3198
UMLS:C0006849	3823
UMLS:C0006849	456201
UMLS:C0006849	47576
UMLS:C0006849	2812
UMLS:C0006849	5702077
UMLS:C0006849	73951506
UMLS:C0007131	36314
UMLS:C0007134	5284616
UMLS:C0007194	4946
UMLS:C0007820	5504
UMLS:C0008311	37768
UMLS:C0008311	6249
UMLS:C0008311	12560
UMLS:C0008312	31401
UMLS:C0008350	31401
UMLS:C0008350	10133
UMLS:C0008582	5702077
UMLS:C0008582	456201
UMLS:C0008582	47576
UMLS:C0008582	3823
UMLS:C0008582	73951506
UMLS:C0008677	3182
UMLS:C0009088	10531
UMLS:C0009186	456201
UMLS:C0009186	47576
UMLS:C0009186	3823
UMLS:C0009186	73951506
UMLS:C0009186	5702077
UMLS:C0009324	5755
UMLS:C0009324	5339
UMLS:C0009324	5754
UMLS:C0009324	4075
UMLS:C0009443	4761
UMLS:C0009443	9916237
UMLS:C0009443	638340
UMLS:C0009443	134767951
UMLS:C0009443	16399351
UMLS:C0009443	3000322
UMLS:C0009443	2564
UMLS:C0009443	5282443
UMLS:C0009443	4992
UMLS:C0009443	5184
UMLS:C0009443	11968014
UMLS:C0009443	5360696
UMLS:C0009443	2725
UMLS:C0009443	2678
UMLS:C0009443	452977
UMLS:C0009443	6432494
UMLS:C0009443	6451257
UMLS:C0009443	6726
UMLS:C0009443	2723877
UMLS:C0009443	153311
UMLS:C0009443	5284456
UMLS:C0009443	1983
UMLS:C0009443	2244
UMLS:C0009443	3162
UMLS:C0009766	5574
UMLS:C0009766	3162
UMLS:C0009766	9878
UMLS:C0009766	36294
UMLS:C0009766	2200
UMLS:C0009766	26987
UMLS:C0009766	5754
UMLS:C0009766	4992
UMLS:C0009766	247839
UMLS:C0009766	2247
UMLS:C0009766	4926
UMLS:C0009766	5282443
UMLS:C0009766	2913
UMLS:C0009766	4761
UMLS:C0009766	2564
UMLS:C0009766	5755
UMLS:C0009766	3658
UMLS:C0009766	2678
UMLS:C0009766	3827
UMLS:C0009766	4927
UMLS:C0009766	5743
UMLS:C0009766	3100
UMLS:C0009766	3826
UMLS:C0009766	6726
UMLS:C0009766	54385
UMLS:C0009766	6834
UMLS:C0009766	2725
UMLS:C0009766	3103
UMLS:C0010200	5184
UMLS:C0010200	134767951
UMLS:C0010200	4761
UMLS:C0010200	638340
UMLS:C0010200	5360696
UMLS:C0010200	9916237
UMLS:C0010200	11968014
UMLS:C0010200	7699
UMLS:C0010200	6726
UMLS:C0010200	452977
UMLS:C0010200	2723877
UMLS:C0010200	6432494
UMLS:C0010200	153311
UMLS:C0010200	16399351
UMLS:C0010200	6451257
UMLS:C0010200	3000322
UMLS:C0010200	5284456
UMLS:C0010308	5920
UMLS:C0010692	2764
UMLS:C0010692	4583
UMLS:C0011606	6741
UMLS:C0011606	31307
UMLS:C0011606	5755
UMLS:C0011606	5865
UMLS:C0011606	5743
UMLS:C0011606	5754
UMLS:C0011606	9782
UMLS:C0011608	31307
UMLS:C0011608	5755
UMLS:C0011608	5865
UMLS:C0011608	9782
UMLS:C0011608	5754
UMLS:C0011608	5743
UMLS:C0011608	6741
UMLS:C0011616	5755
UMLS:C0011616	31307
UMLS:C0011616	6741
UMLS:C0011616	5754
UMLS:C0011616	15209
UMLS:C0011616	6714002
UMLS:C0011616	5743
UMLS:C0011616	9782
UMLS:C0011616	5865
UMLS:C0011616	9642
UMLS:C0011991	3955
UMLS:C0012546	12560
UMLS:C0013238	5403
UMLS:C0013369	6249
UMLS:C0013390	4037
UMLS:C0013390	2662
UMLS:C0013390	3033
UMLS:C0013390	4044
UMLS:C0013390	156391
UMLS:C0013390	4992
UMLS:C0013390	3825
UMLS:C0013395	2756
UMLS:C0013395	3001055
UMLS:C0013395	3325
UMLS:C0013395	5353622
UMLS:C0013395	3033637
UMLS:C0013395	5702160
UMLS:C0014121	6249
UMLS:C0014121	5904
UMLS:C0014121	14969
UMLS:C0014175	5994
UMLS:C0014175	6230
UMLS:C0014175	6291
UMLS:C0014175	28417
UMLS:C0014175	5526
UMLS:C0014179	22842006
UMLS:C0014179	5459211
UMLS:C0014179	56842327
UMLS:C0014179	44298077
UMLS:C0014179	5742832
UMLS:C0014179	5466987
UMLS:C0014179	5484131
UMLS:C0014179	54117
UMLS:C0014179	66509024
UMLS:C0014179	91713
UMLS:C0014179	133687818
UMLS:C0014179	2274
UMLS:C0014179	2650
UMLS:C0014179	86741379
UMLS:C0014179	4173
UMLS:C0014179	5481173
UMLS:C0014549	3292
UMLS:C0014549	5284627
UMLS:C0014549	4909
UMLS:C0014549	2554
UMLS:C0014733	5904
UMLS:C0014742	9782
UMLS:C0014742	6741
UMLS:C0014742	5743
UMLS:C0014742	5865
UMLS:C0014742	5754
UMLS:C0014742	5755
UMLS:C0014742	31307
UMLS:C0014836	44298077
UMLS:C0014836	5484131
UMLS:C0014836	2274
UMLS:C0014836	22842006
UMLS:C0014836	54117
UMLS:C0014836	4583
UMLS:C0014836	66509024
UMLS:C0014836	56842327
UMLS:C0014836	37768
UMLS:C0014836	5481173
UMLS:C0014836	5466987
UMLS:C0014836	6249
UMLS:C0014836	86741379
UMLS:C0014836	2650
UMLS:C0014836	2764
UMLS:C0014836	5742832
UMLS:C0014836	133687818
UMLS:C0014836	91713
UMLS:C0014836	36294
UMLS:C0014836	43672
UMLS:C0014836	5459211
UMLS:C0014869	3325
UMLS:C0014869	4594
UMLS:C0014869	4594
UMLS:C0014869	3033637
UMLS:C0014869	5353622
UMLS:C0014869	5702160
UMLS:C0015397	31307
UMLS:C0015397	6741
UMLS:C0015397	5754
UMLS:C0015397	5755
UMLS:C0015397	5743
UMLS:C0015397	9782
UMLS:C0015967	4761
UMLS:C0015967	1983
UMLS:C0015967	156391
UMLS:C0015967	5360696
UMLS:C0016034	28417
UMLS:C0017168	6917698
UMLS:C0017168	2769
UMLS:C0017168	3325
UMLS:C0017168	5311047
UMLS:C0017168	4168
UMLS:C0017168	2756
UMLS:C0017168	5353622
UMLS:C0017168	4594
UMLS:C0017168	3001055
UMLS:C0017168	3883
UMLS:C0017168	3033637
UMLS:C0017168	4594
UMLS:C0017168	5702160
UMLS:C0017168	6604902
UMLS:C0017168	44279790
UMLS:C0017536	4173
UMLS:C0017563	31307
UMLS:C0017563	5754
UMLS:C0017605	4100
UMLS:C0017605	3038
UMLS:C0017605	1986
UMLS:C0017612	33624
UMLS:C0017612	5284549
UMLS:C0017612	39468
UMLS:C0017612	2369
UMLS:C0017612	3038
UMLS:C0017612	5983
UMLS:C0017612	68844
UMLS:C0017612	1986
UMLS:C0017612	2583
UMLS:C0017612	5910
UMLS:C0017612	36314
UMLS:C0017612	2803
UMLS:C0017612	4100
UMLS:C0018081	6249
UMLS:C0018081	43672
UMLS:C0018081	4911
UMLS:C0018081	4583
UMLS:C0018081	12560
UMLS:C0018081	54675783
UMLS:C0018081	3229
UMLS:C0018081	54675776
UMLS:C0018081	54671203
UMLS:C0018099	3715
UMLS:C0018099	156391
UMLS:C0018099	6167
UMLS:C0018916	4946
UMLS:C0019112	5754
UMLS:C0019112	3676
UMLS:C0019342	135398513
UMLS:C0019348	135398513
UMLS:C0019357	6256
UMLS:C0019357	21704
UMLS:C0019360	135398513
UMLS:C0019655	73951506
UMLS:C0019655	3823
UMLS:C0019655	456201
UMLS:C0019655	47576
UMLS:C0019655	5702077
UMLS:C0020428	5833
UMLS:C0020459	3019
UMLS:C0020473	39042
UMLS:C0020473	53232
UMLS:C0020473	4912
UMLS:C0020473	2796
UMLS:C0020473	3339
UMLS:C0020514	31101
UMLS:C0020538	36314
UMLS:C0020538	3702
UMLS:C0020538	2732
UMLS:C0020538	2369
UMLS:C0020538	3157
UMLS:C0020538	5401
UMLS:C0020538	2315
UMLS:C0020538	5560
UMLS:C0020538	4170
UMLS:C0020538	4032
UMLS:C0020538	4171
UMLS:C0020538	2520
UMLS:C0020538	41781
UMLS:C0020538	5388962
UMLS:C0020538	2583
UMLS:C0020538	3440
UMLS:C0020538	3647
UMLS:C0020538	4631
UMLS:C0020538	44093
UMLS:C0020538	1978
UMLS:C0020538	2405
UMLS:C0020538	5282379
UMLS:C0020538	16231
UMLS:C0020538	4485
UMLS:C0020538	3518
UMLS:C0020538	4688
UMLS:C0020538	33624
UMLS:C0020538	5833
UMLS:C0020538	3519
UMLS:C0020538	5546
UMLS:C0020538	39147
UMLS:C0020538	3637
UMLS:C0020538	3869
UMLS:C0020538	3639
UMLS:C0020538	3784
UMLS:C0020538	39186
UMLS:C0020538	5362129
UMLS:C0020538	4893
UMLS:C0020538	3333
UMLS:C0020538	4828
UMLS:C0020538	4474
UMLS:C0020538	5362119
UMLS:C0020538	2803
UMLS:C0020538	5770
UMLS:C0020538	4946
UMLS:C0020538	4201
UMLS:C0020538	5353646
UMLS:C0020557	54454
UMLS:C0020557	3339
UMLS:C0020557	3463
UMLS:C0020557	53232
UMLS:C0020598	5280795
UMLS:C0020649	681
UMLS:C0020676	5920
UMLS:C0021390	5743
UMLS:C0021390	5754
UMLS:C0021390	5755
UMLS:C0021390	6741
UMLS:C0021390	5865
UMLS:C0021390	9782
UMLS:C0021390	31307
UMLS:C0022073	638340
UMLS:C0022073	9916237
UMLS:C0022073	5754
UMLS:C0022073	2723877
UMLS:C0022073	5284456
UMLS:C0022073	5755
UMLS:C0022073	134767951
UMLS:C0022073	6451257
UMLS:C0022073	6432494
UMLS:C0022073	11968014
UMLS:C0022073	16399351
UMLS:C0022073	3000322
UMLS:C0022073	5184
UMLS:C0022073	9878
UMLS:C0022073	153311
UMLS:C0022073	5743
UMLS:C0022073	247839
UMLS:C0022073	452977
UMLS:C0022081	5755
UMLS:C0022081	5743
UMLS:C0022081	247839
UMLS:C0022081	9878
UMLS:C0022081	5754
UMLS:C0022104	11968014
UMLS:C0022104	2723877
UMLS:C0022104	134767951
UMLS:C0022104	3042
UMLS:C0022104	452977
UMLS:C0022104	16399351
UMLS:C0022104	638340
UMLS:C0022104	5184
UMLS:C0022104	6432494
UMLS:C0022104	5284456
UMLS:C0022104	6451257
UMLS:C0022104	153311
UMLS:C0022104	3000322
UMLS:C0022104	9916237
UMLS:C0022548	31307
UMLS:C0022548	5743
UMLS:C0022568	5754
UMLS:C0022568	5755
UMLS:C0022568	5743
UMLS:C0022573	36294
UMLS:C0022602	3033
UMLS:C0023343	2794
UMLS:C0023434	5865
UMLS:C0023465	30323
UMLS:C0023467	30323
UMLS:C0023467	31703
UMLS:C0023467	2723601
UMLS:C0023467	4212
UMLS:C0023467	451668
UMLS:C0023487	30323
UMLS:C0023487	444795
UMLS:C0023487	667490
UMLS:C0023646	31307
UMLS:C0023860	12560
UMLS:C0023860	54675783
UMLS:C0023860	54671203
UMLS:C0023885	4173
UMLS:C0024110	5904
UMLS:C0024138	5754
UMLS:C0024138	15209
UMLS:C0024138	6714002
UMLS:C0024138	9782
UMLS:C0024138	6741
UMLS:C0024138	5743
UMLS:C0024138	5755
UMLS:C0024138	2719
UMLS:C0024138	31307
UMLS:C0024138	9642
UMLS:C0024286	54675779
UMLS:C0024286	54671203
UMLS:C0024286	54675783
UMLS:C0024286	54675776
UMLS:C0024301	5743
UMLS:C0024301	9782
UMLS:C0024301	5865
UMLS:C0024301	31703
UMLS:C0024301	31307
UMLS:C0024301	6741
UMLS:C0024301	5755
UMLS:C0024305	31307
UMLS:C0024305	126941
UMLS:C0024305	5865
UMLS:C0024305	44417235
UMLS:C0024305	5743
UMLS:C0024305	2578
UMLS:C0024305	133126830
UMLS:C0024305	31703
UMLS:C0024305	6710780
UMLS:C0024305	11104792
UMLS:C0024305	9782
UMLS:C0024305	241903
UMLS:C0024305	5755
