DiseaseID	DiseaseName	ALLIANCE	BioMuta	ClinGen	ClinVar	COSMIC	CTDbase	DISEASES	DisGeNET	DOID	EFO	G2P	GenCC	GEO	GWAS	HPO	KEGG	MedGen	OMIM	OncoMX	OpenTargetsPlatform	Pharos	RepoDB	SIDER	TTD	Sum	Combinations
UMLS:C0000737	Abdominal pain	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	4,8,10,14,15,20,23
UMLS:C0000737	Abdominal pain	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	4,8,10,14,15,20,23
UMLS:C0000737	Abdominal pain	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	4,8,10,14,15,20,23
UMLS:C0000737	Abdominal pain	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	7.0	4,8,10,14,15,20,23
UMLS:C0000810	Abortion, Incomplete	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6,17,22
UMLS:C0000810	Abortion, Incomplete	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6,17,22
UMLS:C0000810	Abortion, Incomplete	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	6,17,22
UMLS:C0000833	Abscess	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	9.0	4,6,8,10,14,15,17,20,23
UMLS:C0001122	lactic acidosis	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	12.0	1,4,6,7,8,9,10,14,15,17,20,23
UMLS:C0001126	renal tubular acidosis	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	16.0	1,4,6,7,8,9,10,12,15,16,17,18,20,21,22,23
UMLS:C0001126	renal tubular acidosis	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	16.0	1,4,6,7,8,9,10,12,15,16,17,18,20,21,22,23
UMLS:C0001175	acquired immunodeficiency syndrome	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	1,4,6,7,8,9,10,14,17,20,21,23
UMLS:C0001175	acquired immunodeficiency syndrome	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	1,4,6,7,8,9,10,14,17,20,21,23
UMLS:C0001175	acquired immunodeficiency syndrome	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	1,4,6,7,8,9,10,14,17,20,21,23
UMLS:C0001175	acquired immunodeficiency syndrome	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	1,4,6,7,8,9,10,14,17,20,21,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
UMLS:C0001206	acromegaly	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	15.0	1,4,6,7,8,9,10,12,15,16,17,20,21,22,23
