CID	DrugName	BindingDB	BioGRID	Cancerrxgene	CLUE	CTDbase	DGIdb	DrugBank	DrugCentral	DrugComb	DrugCombDB	DrugPath	DrugRepurposingHub	DsigDB	GtopDB	Hetionet	PDSPKiDB	pharmGKB	RepoDB	SIDER	SMPDB	SWEETLEAD	TTD	Sum	Combinations
27503	Cromolyn Sodium	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	5,6,9,10,12,13,21
938	Nicotinic acid	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	18.0	1,2,4,5,6,7,8,9,10,11,12,13,15,18,19,20,21,22
2882	Cromolyn	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	12.0	1,2,4,6,7,8,11,12,14,15,18,22
3463	Gemfibrozil	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	18.0	1,2,4,5,6,7,8,9,10,11,12,13,14,15,18,19,21,22
5280360	Dinoprostone	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	18.0	1,2,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,22
5282415	Dinoprost Tromethamine	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	11.0	2,5,6,7,9,13,15,18,19,21,22
439302	Oxytocin	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	14.0	1,2,5,6,7,8,12,13,14,16,18,19,21,22
443385	clindamycin phosphate	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	5,9,12,13
6503	Tris	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	11.0	2,5,6,7,9,12,13,14,19,21,22
2735208	Potassium citrate monohydrate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12
13344	Potassium Citrate	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	7.0	5,7,12,13,18,21,22
135413534	Valganciclovir hydrochloride	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9,10,12
11683	Megestrol acetate	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	13.0	2,4,5,6,7,8,9,10,12,13,15,18,21
135413535	Valganciclovir	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	13.0	5,6,7,8,9,10,12,13,14,15,18,19,22
135398740	Ganciclovir	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	16.0	2,4,5,6,7,8,9,10,11,12,13,15,18,19,21,22
383414	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	16.0	2,4,5,6,7,8,10,12,13,14,15,16,18,19,21,22
6400441	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	15.0	2,4,5,6,7,8,9,10,12,13,14,15,16,18,19
44420813	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	14.0	2,4,5,6,7,8,10,12,13,14,15,16,18,19
86289069	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	14.0	2,4,5,6,7,8,10,12,13,14,15,16,18,19
3776	Isopropyl alcohol	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	10.0	1,2,4,5,6,7,12,13,21,22
6918010	Somatuline Depot	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	12,21
90488715	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	14.0	2,4,5,6,7,8,10,12,13,14,15,16,18,19
155903738	Octreotide	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	14.0	2,4,5,6,7,8,10,12,13,14,15,16,18,19
